iter	Passed	Remaining
907	4246	430
908	4250	425
909	4254	420
910	4259	416
911	4263	411
912	4267	406
913	4271	401
914	4275	397
915	4280	392
916	4284	387
917	4288	383
918	4292	378
919	4297	373
920	4301	368
921	4305	364
922	4309	359
923	4314	354
924	4318	350
925	4322	345
926	4327	340
927	4331	336
928	4335	331
929	4339	326
930	4343	321
931	4348	317
932	4352	312
933	4356	307
934	4360	303
935	4364	298
936	4369	293
937	4373	289
938	4377	284
939	4382	279
940	4386	275
941	4390	270
942	4394	265
943	4399	260
944	4403	256
945	4407	251
946	4411	246
947	4415	242
948	4420	237
949	4424	232
950	4429	228
951	4433	223
952	4438	218
953	4442	214
954	4446	209
955	4450	204
956	4455	200
957	4459	195
958	4463	190
959	4467	186
960	4471	181
961	4475	176
962	4480	172
963	4484	167
964	4488	162
965	4493	158
966	4497	153
967	4501	148
968	4506	144
969	4510	139
970	4514	134
971	4519	130
972	4523	125
973	4527	120
974	4532	116
975	4536	111
976	4540	106
977	4545	102
978	4549	97
979	4553	92
980	4557	88
981	4562	83
982	4566	78
983	4571	74
984	4575	69
985	4579	65
986	4583	60
987	4587	55
988	4591	51
989	4595	46
990	4600	41
991	4604	37
992	4609	32
993	4613	27
994	4617	23
995	4621	18
996	4625	13
997	4629	9
998	4633	4
999	4637	0
