iter	Passed	Remaining
603	1983	1300
604	1986	1296
605	1989	1293
606	1991	1289
607	1994	1285
608	1996	1282
609	1999	1278
610	2002	1274
611	2005	1271
612	2008	1267
613	2011	1264
614	2013	1260
615	2017	1257
616	2022	1255
617	2026	1252
618	2029	1249
619	2032	1245
620	2035	1242
621	2038	1238
622	2041	1235
623	2045	1232
624	2048	1229
625	2051	1225
626	2054	1222
627	2057	1218
628	2061	1215
629	2064	1212
630	2068	1209
631	2076	1208
632	2081	1206
633	2086	1204
634	2090	1201
635	2095	1199
636	2105	1199
637	2109	1196
638	2112	1193
639	2115	1189
640	2117	1186
641	2120	1182
642	2129	1182
643	2133	1179
644	2138	1176
645	2142	1174
646	2147	1171
647	2152	1169
648	2157	1166
649	2161	1164
650	2165	1160
651	2168	1157
652	2173	1154
653	2176	1151
654	2179	1147
655	2182	1144
656	2185	1140
657	2188	1137
658	2191	1133
659	2193	1130
660	2196	1126
661	2200	1123
662	2203	1119
663	2205	1116
664	2208	1112
665	2211	1109
666	2214	1105
667	2217	1102
668	2221	1098
669	2224	1095
670	2226	1091
671	2229	1088
672	2232	1084
673	2236	1081
674	2239	1078
675	2242	1074
676	2244	1071
677	2248	1067
678	2251	1064
679	2254	1060
680	2256	1057
681	2258	1053
682	2261	1049
683	2265	1046
684	2267	1042
685	2270	1039
686	2274	1036
687	2277	1032
688	2279	1029
689	2283	1025
690	2286	1022
691	2294	1021
692	2297	1017
693	2300	1014
694	2303	1011
695	2306	1007
696	2308	1003
697	2311	1000
698	2314	996
699	2316	992
700	2319	989
701	2322	985
702	2325	982
703	2331	980
704	2334	976
705	2336	973
706	2339	969
707	2342	966
708	2345	962
709	2347	959
710	2350	955
711	2354	952
712	2357	948
713	2360	945
714	2363	942
715	2366	938
716	2369	935
717	2373	932
718	2376	928
719	2379	925
720	2382	921
721	2385	918
722	2388	915
723	2392	911
724	2394	908
725	2397	904
726	2400	901
727	2403	898
728	2406	894
729	2412	892
730	2421	891
731	2424	887
732	2427	884
733	2429	880
734	2432	877
735	2435	873
736	2438	870
737	2442	866
738	2445	863
739	2447	860
740	2451	856
741	2454	853
742	2456	849
743	2459	846
744	2462	842
745	2464	839
746	2467	835
747	2470	832
748	2473	828
749	2476	825
750	2480	822
751	2485	819
752	2490	817
753	2495	814
754	2499	810
755	2504	808
756	2508	805
757	2513	802
758	2518	799
759	2521	796
760	2524	792
761	2527	789
762	2530	785
763	2533	782
764	2536	779
765	2538	775
766	2542	772
767	2544	768
768	2547	765
769	2550	761
770	2554	758
771	2557	755
772	2560	751
773	2563	748
774	2566	744
775	2568	741
776	2571	738
777	2574	734
778	2577	731
779	2580	727
780	2583	724
781	2586	720
782	2588	717
783	2592	714
784	2595	710
785	2597	707
786	2601	703
787	2604	700
788	2607	697
789	2610	693
790	2613	690
791	2617	687
792	2621	684
793	2624	680
794	2626	677
795	2629	673
796	2632	670
797	2635	667
798	2639	663
799	2641	660
800	2644	657
801	2647	653
802	2651	650
803	2654	647
804	2657	643
805	2659	640
806	2662	636
807	2665	633
